State,Forest,Year,SPBt,Spotst-1,Spotst-2,Cleridst-1,"Cleridst-1, filled in",Endo-brevicomin (1=yes),Probability of any SPB spots,Approximate spots to expect if there are spots,P(>50 spots),P(>150 spots),P(>400 spots),P(>1000 spots),P(>3000 spots)
AL,Bankhead R.D.,2018,581,621,1,248,248,1,0.89,91.00,0.59,0.42,0.27,0.15,0.08
AL,Barbour Co.,2018,205.6,15,3,275.8,275.8,1,0.45,15.00,0.14,0.07,0.03,0.01,0.00
AL,Clarke Co.,2018,163.1,263,93,,,0,0.96,129.00,0.69,0.52,0.35,0.21,0.12
AL,Lowndes Co.,2018,83.1,104,18,537.6,537.6,0,0.82,41.00,0.43,0.27,0.15,0.07,0.03
AL,Oakmulgee R.D.,2018,1186,839,272,357,357,1,0.96,137.00,0.70,0.53,0.36,0.22,0.12
AL,Shoal Creek R.D.,2018,696,22,3,337,337,1,0.64,24.00,0.27,0.15,0.07,0.03,0.01
AL,Talladega R.D.,2018,929,52,16,50,50,1,0.86,52.00,0.49,0.32,0.18,0.09,0.04
AL,Tallapoosa Co.,2018,195.3,35,0,61.6,61.6,0,0.83,57.00,0.49,0.32,0.19,0.10,0.05
AR,Ashley Co.,2018,4.3,0,0,,,0,0.09,6.00,0.01,0.00,0.00,0.00,0.00
AR,Bradley Co.,2018,0.0,0,0,,,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
AR,Caddo R.D.,2018,0,0,0,525,525,1,0.02,3.00,0.00,0.00,0.00,0.00,0.00
AR,Calhoun Co.,2018,0.0,0,0,,,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
AR,Columbia Co.,2018,0.3,0,0,,,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
AR,Drew Co.,2018,0.0,0,0,,,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
AR,Lafayette Co.,2018,0.0,0,0,,,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
AR,Mena R.D.,2018,0,0,0,266,266,1,0.03,4.00,0.00,0.00,0.00,0.00,0.00
AR,Oden R.D.,2018,0,0,0,218,218,1,0.03,4.00,0.00,0.00,0.00,0.00,0.00
AR,Ouachita Co.,2018,0.0,0,0,,,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
AR,Union Co.,2018,0.0,0,0,,,0,0.04,4.00,0.00,0.00,0.00,0.00,0.00
AR,Womble R.D.,2018,0,0,0,847,847,1,0.02,3.00,0.00,0.00,0.00,0.00,0.00
FL,Alachua Co.,2018,211,7,8,8,8,1,0.62,20.00,0.24,0.13,0.06,0.02,0.01
FL,Baker Co.,2018,876,1,19,225,225,1,0.46,12.00,0.13,0.06,0.02,0.01,0.00
FL,Bay Co.,2018,0,0,0,1,1,1,0.10,6.00,0.01,0.01,0.00,0.00,0.00
FL,Bradford-Union Co.,2018,98.0,0,3,88.2,88.2,1,0.16,7.00,0.03,0.01,0.00,0.00,0.00
FL,Calhoun Co.,2018,594,0,0,45,45,1,0.32,11.00,0.08,0.04,0.01,0.00,0.00
FL,Clay Co.,2018,448,0,2,48,48,1,0.32,10.00,0.08,0.03,0.01,0.00,0.00
FL,Columbia Co.,2018,721,24,19,10,10,1,0.85,46.00,0.47,0.30,0.17,0.08,0.04
